date,state,state_abbrev,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,vaccines,vaccines_cum,weekly_increase
3/04/2022,Victoria,VIC,8853,1310669,2,2775,19340,20044617,8853,1310669,294076,1,307,3,18,1,3,11215,14917506,154
17/04/2022,Victoria,VIC,8153,1446614,2,2861,12080,20312385,8153,1446614,294076,-2,401,4,25,2,10,2103,15051923,154
24/04/2022,Victoria,VIC,7104,1505903,2,2925,14127,20421565,7104,1505903,294076,-11,438,-2,33,0,8,7364,15122887,154
3/07/2022,New South Wales,NSW,8864,2837197,2,3256,0,32771528,8864,2837197,2802,36,1657,-2,43,0,11,2882,18727773,154
10/07/2022,Victoria,VIC,7934,2193089,2,4062,11619,21538045,7934,2193089,294076,4,671,-2,32,-1,4,5400,15879885,154
5/09/2022,New South Wales,NSW,2313,3451076,2,4601,48825,34718286,2313,3451076,2802,17,1706,6,46,1,16,0,0,154
16/02/2022,Northern Territory,NT,-8962,22677,3,13,2174,693794,-8962,22677,282,-13,143,0,1,0,0,1527,509575,154
24/02/2022,Northern Territory,NT,742,38280,3,19,566,703362,742,38280,282,-23,108,3,7,0,0,1211,518806,154
14/01/2022,Queensland,QLD,13435,148255,3,21,43891,5985728,13435,148255,2210,3,589,15,41,5,15,70089,8821677,154
3/03/2022,Northern Territory,NT,555,41998,3,29,978,714749,555,41998,282,-28,48,0,2,0,0,1090,525137,154
16/01/2022,Queensland,QLD,12805,174676,3,30,42423,6070836,12805,174676,2210,21,670,3,49,2,16,34167,8924242,154
